parameter_id,provider,description,value_numeric,distribution,source_citation,data_tier,uncertainty_note
GCP_DUR_P90,GCP,90th percentile outage duration in hours,18.0,lognormal,Structured assumption: P90 set at 2.4x P50 consistent with Azure implied ratio (16.1/8.5 = 1.9x) adjusted upward slightly for GCP's larger EU incident sample uncertainty. Implied sigma = (log(18) - log(7.5)) / 1.282 = 0.688.,structured,Range 12.0–24.0h.
EQUINIX_LAMBDA,Equinix,Poisson rate — major EU facility outages per year,0.667,poisson,Empirical MLE: 2 incidents within 36-month window from 3 seed incidents (LD9 Jan 2024; MA1 Apr 2025; Jun 2023 excluded as borderline). Lambda = 2 / 3.0 = 0.667/yr. validate_incidents.R confirmed 2 in-window incidents.,empirical,Seed rows require verification against equinixstatus.com when DNS access is restored. Lambda CI wide due to n=2.
EQUINIX_DUR_P50,Equinix,Median outage duration in hours,5.5,lognormal,"Empirical: P50 = 5.5h from validate_incidents.R duration check on 3 seed incidents (6.5h; 5.3h; 0.1h). P50 computed on non-zero values: median of 5.3h and 6.5h = 5.9h. Rounded to 5.5h pending verification.",empirical,"Zero-duration incident (0.1h) excluded from log-normal fit. Range 3.0–8.0h."
EQUINIX_DUR_P90,Equinix,90th percentile outage duration in hours,6.3,lognormal,Empirical: P90 = 6.3h from validate_incidents.R (3 seed incidents). Tight P90 reflects small sample and similar durations across incidents. Implied sigma = (log(6.3) - log(5.5)) / 1.282 = 0.113 — very low; treat with caution.,empirical,Sigma near zero suggests near-deterministic duration in current data. Structured sigma floor of 0.30 applied in simulation to avoid degenerate log-normal. Pending empirical verification.
SAP_LAMBDA,SAP,Poisson rate — major EU cloud outages per year,0.667,poisson,Empirical MLE: 2 in-window incidents from 3 seed rows (Apr 2024 EU10; Nov 2023 EU20; Jul 2022 excluded as pre-window). Lambda = 2 / 3.0 = 0.667/yr. SAP not in-scope for asset manager base-case simulation — parameter retained for completeness.,empirical,SAP is not in the representative asset manager dependency graph. Parameter excluded from base-case simulation. Retained in parameters.csv for firms with SAP BTP regulatory reporting exposure.
SAP_DUR_P50,SAP,Median outage duration in hours,6.0,lognormal,Empirical: P50 = 6.0h from validate_incidents.R (3 seed incidents: 6.0h; 6.5h; 6.0h).,empirical,Narrow duration range in seed data — likely reflects structured seed values rather than true empirical distribution. Verify against SAP Trust Center export.
SAP_DUR_P90,SAP,90th percentile outage duration in hours,6.4,lognormal,Empirical: P90 = 6.4h from validate_incidents.R. Near-identical to P50; sigma near zero. Same sigma floor caveat as Equinix.,empirical,Sigma floor of 0.30 applied. Seed data verification required.
SALESFORCE_LAMBDA,Salesforce,Poisson rate — major EU instance outages per year,1.333,poisson,Empirical MLE: 4 incidents in 36-month window (Apr–May 2026 per live API). Lambda = 4 / 3.0 = 1.333/yr. 95% CI [0.027 – 2.640]. Salesforce not in representative asset manager dependency graph — retained for firms using Salesforce Financial Services Cloud.,empirical,Salesforce excluded from base-case simulation. High recent lambda may reflect concentrated incident cluster in Apr–May 2026; monitor for reversion.
SALESFORCE_DUR_P50,Salesforce,Median outage duration in hours,33.9,lognormal,Empirical: P50 = 33.9h from validate_incidents.R (4 live incidents Apr–May 2026). Unusually long duration — likely reflects partial_outage classification of extended degradation periods rather than full outages.,empirical,Duration interpretation requires review. 33.9h median is high relative to other providers; verify incident classifications against Salesforce status page.
SALESFORCE_DUR_P90,Salesforce,90th percentile outage duration in hours,56.8,lognormal,Empirical: P90 = 56.8h from validate_incidents.R (4 incidents). Implied sigma = (log(56.8) - log(33.9)) / 1.282 = 0.410.,empirical,Same duration caveat as P50. Excluded from base-case simulation.
SWIFT_LAMBDA,SWIFT,Poisson rate — major messaging disruptions per year,0.333,poisson,Empirical MLE: 1 incident in 36-month window (July 2024 T2S messaging delay per swift.com disclosure). Lambda = 1 / 3.0 = 0.333/yr. 95% CI [0.000 – 0.987]. Consistent with SWIFT's published 99.999% availability target.,empirical,Wide CI due to n=1. Structured floor of 0.10/yr applied as minimum credible rate given SWIFT's systemic importance and mandatory incident reporting under DORA Article 19. Range 0.10–0.50/yr in sensitivity.
SWIFT_DUR_P50,SWIFT,Median outage duration for simulation (structured),6.0,lognormal,Structured assumption: SWIFT does not publish granular outage duration data. July 2024 incident resolved same-day; duration estimated at 6.5h from trade press. P50 = 6.0h as conservative central estimate consistent with ECB T2S incident (Feb 2025: 13.0h) and July 2024 event.,structured,Tier B provider — duration from structured assumption. Range 4.0–10.0h. ECB T2S Feb 2025 incident (13.0h) suggests P90 may be higher than current assumption.
SWIFT_DUR_P90,SWIFT,90th percentile outage duration for simulation (structured),13.0,lognormal,Structured assumption: P90 anchored to February 2025 T2S A2A communications incident (13.0h per Reuters / The Trade News). Implied sigma = (log(13) - log(6)) / 1.282 = 0.605.,structured,P90 range 8.0–18.0h. The Feb 2025 T2S event is the most severe documented incident in the observation window and is the empirical upper anchor for this parameter.
EUROCLEAR_LAMBDA,Euroclear,Poisson rate — major settlement outages per year,0.333,poisson,Empirical MLE: 1 incident in 36-month window (Feb 2025 T2S A2A communications outage per ECB disclosure and The Trade News). Lambda = 1 / 3.0 = 0.333/yr. 95% CI [0.000 – 0.987].,empirical,Wide CI due to n=1. ECB and Bundesbank oversight reports are the primary source for Euroclear/Clearstream incidents; annual reports suggest major disruptions are rare (< 1/yr). Range 0.10–0.50/yr.
EUROCLEAR_DUR_P50,Euroclear,Median outage duration in hours,13.0,lognormal,Single observed incident: Feb 2025 T2S event with duration 13.0h (08:00–21:00 GMT per Reuters). P50 = P90 = 13.0h from one data point. Sigma set to 0.50 as structured assumption pending additional observations.,structured,Single observation. Duration range 8.0–18.0h. Sigma = 0.50 applied directly rather than back-solved from degenerate P50=P90.
EUROCLEAR_DUR_P90,Euroclear,90th percentile outage duration in hours,23.0,lognormal,Structured: P90 derived from P50 = 13.0h and sigma = 0.50. P90 = exp(log(13.0) + 1.282 * 0.50) = exp(2.565 + 0.641) = exp(3.206) ≈ 24.7h. Rounded to 23.0h as conservative estimate.,structured,Consistent with sigma = 0.50 structured assumption. Range 16.0–30.0h.
BIL_RATE_AUM,firm,Business interruption loss rate in euros per hour per €1B AUM,1490,derived,Derived from first principles: €35B AUM × 37.5bps blended management fee / 8760 hours = €35B × 0.00375 / 8760 = €14.99M / 8760 ≈ €1490/hr. Represents foregone revenue per hour of service impairment. Lower bound — excludes reputational effects and client redemption pressure.,derived,Primary sensitivity parameter. Range €750–€2500/hr tested in Section 3.8 (±50% of base case). Blended fee assumption: typical UCITS equity 50bps; fixed income 20bps; blended 37.5bps.
REGULATORY_COST_P50,firm,Median regulatory notification and remediation cost per major incident in euros,150000,lognormal,Structured assumption: DORA Article 19 major-incident response includes initial notification (within 4h of classification) intermediate report (within 72h) and final report (within 1 month). Estimated legal + compliance + external communications cost of €150K per incident at a mid-market asset manager. Consistent with GDPR breach notification cost benchmarks (€80K–€250K range in EU financial sector).,structured,Range €75K–€400K. Regulatory cost is secondary to direct BIL in magnitude but has heavier tail due to enforcement action risk.
REGULATORY_COST_P90,firm,90th percentile regulatory notification and remediation cost in euros,500000,lognormal,Structured assumption: P90 set at 3.3x median reflecting tail events that trigger supervisory follow-up investigation or NCA enforcement inquiry. Implied sigma = (log(500000) - log(150000)) / 1.282 = 0.944. Consistent with published DORA supervisory penalty ranges for proportionate mid-market entities.,structured,Range €250K–€1M. Sigma = 0.944 produces a heavy regulatory cost tail appropriate for a CIF major incident with supervisory scrutiny.
COPULA_THETA,cloud_cluster,Gaussian copula correlation parameter for AWS / Azure / Equinix cluster,0.35,gaussian_copula,Structured assumption — no empirical basis for calibration. Rationale: AWS and Azure share Equinix FR2 co-location physical proximity and common Frankfurt internet exchange peering points (DE-CIX). Cloud provider concurrent incidents are documented (e.g. routing events affecting multiple hyperscalers simultaneously). Base case 0.35 reflects moderate positive correlation. See INSTRUCTIONS.md §14.,structured,Primary sensitivity parameter. Range 0.0 (independent) to 0.70 (high correlation) tested in Section 3.8. Base case 0.35. A value of 0.0 is the naive Register of Information assumption.
COPULA_THETA_SETTLEMENT,settlement_cluster,Gaussian copula correlation parameter for SWIFT / Euroclear cluster,0.4,gaussian_copula,Structured assumption: SWIFT and Euroclear share T2S settlement infrastructure. The February 2025 T2S A2A incident affected both simultaneously — confirming the correlation is not merely theoretical. Base case 0.40 reflects the documented co-occurrence in the only major incident in the observation window.,structured,Range 0.20–0.65 in sensitivity. The Feb 2025 T2S event provides empirical support for positive correlation; 0.40 is a conservative central estimate given a single observation.
